timestamp,user_id,stress_level,recommended_activity,reward,view_time,view_count,novelty_bonus,interest_score
1773305448.747641,5,0.72,0.5753707986649064,5,1,24.796274672121278,4,0.4169779558595434,0.7
1773305448.8417697,4,0.65,0.4900129656046532,4,1,33.59143287195832,1,0.3717056631080429,0.7
1773305448.9288561,4,0.63,0.48378348134473215,3,2,22.12791955747459,3,0.367537840263073,0.7
1773305449.0231628,3,0.33,0.21992590399054812,4,2,14.197610525727804,2,0.4141580176415889,0.7
1773305449.1252608,3,0.75,0.5992292709514303,5,1,15.771374155208386,2,0.4019640918727325,0.7
1773305449.244252,5,0.67,0.5511669388699678,3,1,33.16711239899894,2,0.31081326944008336,0.7
1773305449.3365405,3,0.51,0.3910088318525409,3,1,10.687409816578713,3,0.2733478099509614,0.7
1773305449.4253812,1,0.54,0.37418205483693984,4,2,35.62568840994008,1,0.4501223281031339,0.7
1773305449.5685437,3,0.44,0.3127803485775945,5,2,34.259267306937986,4,0.5076712672762975,0.7
1773305449.667271,2,0.68,0.5201874474238016,4,1,23.110502808162842,1,0.35423666116686425,0.7
1773305449.763815,4,0.3,0.10898561546832908,4,1,30.070654449874603,4,0.3659773221468502,0.7
1773305449.854194,3,0.67,0.4944550279449791,4,1,39.37669782190803,3,0.3814177820774276,0.7
1773305449.9553633,1,0.74,0.6491639528734734,5,1,39.974910822978075,4,0.4420336135836995,0.7
1773305450.0495102,2,0.25,0.19146665317716782,5,2,30.919877160688664,1,0.5017965286618505,0.7
1773305450.1623085,4,0.25,0.06901593700244579,3,2,38.56823466510165,4,0.3950948193919917,0.7
1773305450.2621384,1,0.72,0.5781468245544578,3,1,12.997741608676153,4,0.27730124197063183,0.7
1773305450.3657835,2,0.58,0.5100966881741837,4,1,35.903922425655495,4,0.375154435612642,0.7
1773305450.4733343,2,0.64,0.5542588187560944,4,1,26.979251127208403,3,0.3603512538609449,0.7
1773305450.5769773,4,0.21,0.1272294945741933,4,1,18.691483983459676,3,0.3465249405801823,0.7
1773305450.6644878,3,0.28,0.18420046188184072,5,2,10.718744406326389,1,0.46829567193207566,0.7
1773305450.789739,1,0.46,0.28837770993653045,3,1,25.41881634966925,4,0.298136994221401,0.7
1773305450.8880987,5,0.7,0.501948260223681,5,1,27.559179218251526,2,0.421823198192746,0.7
1773305450.994193,1,0.75,0.5963000066000258,3,1,15.325517488138187,1,0.28123417911719684,0.7
1773305451.0812056,3,0.21,0.04441409366811222,3,1,34.31660472994645,2,0.31293947779507086,0.7
1773305451.1706774,4,0.52,0.3658239290346816,5,1,23.753142710436766,1,0.4152823635034052,0.7
1773305451.2785947,1,0.26,0.2077554109899961,4,2,22.338417939193068,3,0.4274657972158668,0.7
1773305451.383037,1,0.8,0.7395499506424562,3,1,11.632295215248094,2,0.2746591839141891,0.7
1773305451.4724865,5,0.48,0.2938407178472223,3,2,36.99685242280188,1,0.3924991374743573,0.7
1773305451.589295,4,0.44,0.24445264695175273,5,1,29.61701894796069,1,0.42524166133531827,0.7
1773305451.7387447,5,0.71,0.5702971589044734,5,1,15.040141085005606,1,0.40069556459327255,0.7
1773305451.857411,5,0.52,0.33947577596315714,4,2,19.40238818394178,4,0.4231496726480688,0.7
1773305451.9571533,5,0.8,0.6397465351093893,4,2,15.196723407596533,3,0.41604901293800195,0.7
1773305452.045874,5,0.29,0.188616273091038,4,1,11.638868825843616,3,0.33485434148082965,0.7
1773305452.155509,2,0.49,0.4009152588967662,4,2,10.295314606547004,1,0.4075597390125429,0.7
1773305452.2782688,5,0.21,0.052428762085522274,4,2,34.28057797179402,2,0.4478433671902718,0.7
1773305452.376322,2,0.57,0.42691470085149835,5,2,26.18247514463502,1,0.49428134242056,0.7
1773305452.49367,4,0.68,0.5611030872800824,5,1,33.73967789850043,4,0.4317678326047404,0.7
1773305452.5930417,4,0.74,0.6220962167263647,5,1,24.40723215850482,2,0.41620928728890605,0.7
1773305452.7006202,1,0.55,0.3651675186558,3,2,15.652190570041794,1,0.3569187304494519,0.7
1773305452.7905173,3,0.31,0.2501012334168062,5,2,10.317785365779597,2,0.4674658533925903,0.7
1773305452.8924127,3,0.3,0.14238148693649127,4,2,16.059029703929465,4,0.41747433281533486,0.7
1773305453.0018783,1,0.69,0.5525308133799132,3,1,29.959747933588005,3,0.30555152456243706,0.7
1773305453.090492,3,0.78,0.7022230135637662,4,2,16.50889087533345,1,0.4178648145645188,0.7
1773305453.1793978,1,0.71,0.6552577215774349,4,2,27.69184739076603,2,0.4363994192375116,0.7
1773305453.284676,2,0.43,0.28512874493084617,3,2,25.246256521750666,1,0.37272901485072896,0.7
